,condition,shipping,size,item,day,measurement,new,inch,cm,length,question,vintage,check,number,used,payment,pit,good,ask,ship,tag,free,u,purchase,made,worn,price,like
70,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
71,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,1,2,0,0,0,0,1
72,0,1,1,2,0,0,1,1,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0
73,0,4,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
74,0,0,1,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
75,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
76,0,1,1,2,0,0,1,1,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0
77,1,0,1,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0
78,0,1,2,1,2,0,2,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
79,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
80,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
81,0,1,2,1,2,0,2,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
82,0,1,1,2,0,0,1,1,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0
83,0,1,1,2,0,0,1,1,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0
84,1,2,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
85,1,1,1,0,1,2,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
86,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
87,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0
88,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1,4,0,1,1,3,0,0,5,1,2,0,1,1,1,0,0,1,3,1,0,0,0,0,0,0,7,1
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
92,1,1,1,0,0,2,0,0,3,0,0,0,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0
93,1,1,1,0,1,3,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
94,4,0,1,2,1,3,1,2,1,0,1,0,2,1,1,0,2,1,0,0,5,0,1,1,1,0,0,1
95,2,1,1,0,3,2,0,0,5,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
98,1,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
99,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,2,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
102,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,3,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
104,1,2,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
